sigla_partido,Branco,Pardo,Preto,Indigena,Amarela,nao_informado
PSB,0.5041293575588977,0.38866382682778405,0.09543597322437625,0.0030252977484134572,0.0037729288011823002,0.005067360953362805
PSC,0.45096784514477684,0.4352636911427505,0.09817095931317656,0.0036260864928278143,0.003972697701701061,0.008088571198237176
PP,0.5490066225165563,0.3636481428160092,0.07613014684710624,0.003469622804491794,0.0029225453498416356,0.004860478236340754
PT,0.4563015941980549,0.3681695130510344,0.157498078272785,0.008271782360215233,0.00391029711573811,0.005933570900289114
PTB,0.5495119679235348,0.35320562148151147,0.08393746709327285,0.0032400469806812197,0.0037868049086711756,0.006431522601917245
PRTB,0.4733984171913812,0.4120501415285079,0.09693258621685634,0.0035237710126509157,0.007856276356074172,0.006276880158084389
PC do B,0.3446954417103671,0.48402581686163776,0.15457845905607098,0.007664380798709157,0.003711173860427592,0.00559656095384865
PDT,0.5190846242258933,0.37894772957301903,0.0895819395124629,0.003825502204381315,0.003276551215411799,0.005363086102536688
PATRIOTA,0.48397413119181293,0.3989055504228555,0.10368843721128562,0.0029848624831213134,0.0035178736408215477,0.007084839159838265
PSTU,0.43924466338259444,0.15517241379310345,0.37438423645320196,0.023809523809523808,0.007389162561576354,0.0
PSOL,0.40596213824617394,0.35765576267498367,0.22238340465656053,0.00942917240879089,0.0036991368680641184,0.0008711433756805807
SOLIDARIEDADE,0.4573165436387321,0.4239687364307425,0.10325662179765523,0.0028658271819366043,0.0035605731654363873,0.009201647533082113
PCB,0.41317365269461076,0.36077844311377244,0.20808383233532934,0.011976047904191617,0.0029940119760479044,0.0029940119760479044
PV,0.5241669834030154,0.36902951982769544,0.09438743190168504,0.00427594070695553,0.004149246167490181,0.004006868918145392
PMN,0.4015404539567855,0.47658646309045055,0.10640038170540522,0.002999113898166451,0.004294185808738327,0.008383151240294097
PROS,0.4299670433145009,0.45154582548650346,0.10287193973634652,0.004198053986189579,0.005610483364720652,0.006432010101807276
PSDB,0.5754050974179382,0.335723616554101,0.07557186136357319,0.0029322660440812697,0.004697184468717863,0.005744234800838574
AVANTE,0.43520354601656364,0.43287064038259654,0.11707298106458261,0.00322718612698783,0.0027217232396282904,0.009101608473911338
PODE,0.4803258484383924,0.40938467550425345,0.09528962635644933,0.0030360417230288275,0.003787537199026062,0.008273980906197909
PSD,0.507076425394258,0.39480179037048396,0.08385738388387691,0.0030676129787916393,0.004280714474950151,0.006978180899160372
PCO,0.6074600355239786,0.20781527531083482,0.17584369449378331,0.0017761989342806395,0.0053285968028419185,0.0017793594306049821
REDE,0.44793421182998117,0.38769444169226197,0.14128603982958485,0.012186664024571485,0.004260378480134747,0.006782365848793138
DC,0.43478260869565216,0.43783745382210854,0.11196362603012219,0.004191531685137823,0.004973003694231316,0.006434086359736918
CIDADANIA,0.50187625201027,0.3911068476144796,0.09209152724092204,0.0038371469683717518,0.00479643371046469,0.006871095968199886
PMB,0.40688629604209564,0.45092656142759097,0.12800274536719286,0.002059025394646534,0.006291466483642187,0.005867464335020708
NOVO,0.8220747889022919,0.1405307599517491,0.029553679131483716,0.0006031363088057901,0.007237635705669481,0.0006031363088057901
MDB,0.5736752990209911,0.34418347189962445,0.0719169904704018,0.0028762454685566674,0.0031801506501400135,0.004206992763100532
PL,0.5047038360109974,0.3970112405783006,0.08451942319561599,0.0031047187985112313,0.0044139375689677745,0.006361394989930928
REPUBLICANOS,0.457293997965412,0.42681586978636826,0.10478128179043744,0.0032756866734486266,0.003194303153611394,0.004680824969850582
AGIR,0.4218258132214061,0.39769150052465896,0.14480587618048268,0.0031479538300104933,0.004197271773347324,0.02833158447009444
UNIÃO,0.5160235448005233,0.3754087638979725,0.1013734466971877,0.0032701111837802484,0.003924133420536298,0.0
UP,0.31,0.29,0.385,0.015,0.0,0.0
