sigla_partido,1,2,3,4,5,6,7,8,9
AGIR,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVANTE,23751.0,836.0,74.0,11.0,1.0,0.0,0.0,0.0,0.0
CIDADANIA,31648.0,1736.0,69.0,13.0,0.0,0.0,0.0,0.0,0.0
DC,12976.0,497.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0
MDB,73430.0,8885.0,191.0,34.0,0.0,0.0,0.0,0.0,0.0
NOVO,1278.0,155.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
PATRIOTA,25982.0,949.0,64.0,6.0,4.0,0.0,0.0,0.0,0.0
PC do B,35389.0,4074.0,892.0,220.0,60.0,31.0,11.0,7.0,1.0
PCB,1577.0,220.0,65.0,19.0,7.0,5.0,2.0,0.0,0.0
PCO,489.0,79.0,35.0,11.0,10.0,1.0,0.0,0.0,2.0
PDT,81912.0,10624.0,2494.0,629.0,109.0,26.0,11.0,6.0,2.0
PL,48072.0,2877.0,97.0,16.0,1.0,0.0,0.0,0.0,0.0
PMB,8322.0,190.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PMN,25060.0,2048.0,391.0,84.0,26.0,4.0,1.0,2.0,0.0
PODE,31060.0,980.0,59.0,5.0,1.0,0.0,0.0,0.0,0.0
PP,90502.0,12358.0,3297.0,1016.0,85.0,20.0,3.0,0.0,1.0
PROS,23731.0,795.0,35.0,6.0,2.0,0.0,0.0,0.0,0.0
PRTB,25586.0,1584.0,201.0,36.0,11.0,2.0,1.0,1.0,1.0
PSB,80048.0,9976.0,2070.0,503.0,95.0,31.0,12.0,7.0,3.0
PSC,54464.0,5192.0,910.0,157.0,33.0,13.0,2.0,1.0,0.0
PSD,76867.0,7898.0,1245.0,56.0,8.0,0.0,0.0,0.0,0.0
PSDB,97148.0,15489.0,3953.0,1111.0,130.0,41.0,5.0,3.0,1.0
PSOL,16066.0,2009.0,624.0,216.0,97.0,52.0,30.0,21.0,6.0
PSTU,864.0,238.0,100.0,58.0,29.0,21.0,10.0,4.0,5.0
PT,86896.0,16304.0,4550.0,1576.0,297.0,136.0,37.0,12.0,4.0
PTB,74425.0,9673.0,2275.0,542.0,65.0,22.0,4.0,2.0,0.0
PV,51769.0,5814.0,1146.0,249.0,60.0,24.0,14.0,3.0,1.0
REDE,8981.0,455.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0
REPUBLICANOS,43900.0,2364.0,118.0,21.0,0.0,0.0,0.0,0.0,0.0
SOLIDARIEDADE,31144.0,1462.0,108.0,22.0,5.0,0.0,0.0,0.0,0.0
UNIÃO,1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UP,146.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
